SCIENTIFIC_NAME	FAMILY	CONSERVATION_ACT_1992	EPBC_ACT_1999	AUSTRALIAN	PERCENTAGE	HABITAT	SPECIES_PROFILE							
Flindersia collina	"Rutaceae	"	Least concern	Not listed	Yes	0.18	Dry vine forest	"The Leopard ash, Flindersia collina is an attractive rainforest tree growing to 40 metres.  A member of the citrus family, this Australian native ranges from New South Wales to tropical Queensland.  The Leopard ash gets its name from its spotted green, brown and grey bark which sheds in roundish patches over the cylindrical trunk.  White flowers are borne in spring followed by winged seeds that assist the seed disperse by wind.   "							
Flindersia schottiana	"Rutaceae	"	Least concern	Not listed	Yes	0.70	Rainforest	"The Bumpy ash, Flindersia schottiana is a common sight around Brisbane due to its popularity as a street tree.  A member of the Rutaceae or citrus family, it is found from New South Wales to Cape York.  The Bumpy ash also occurs in areas of Papua New Guinea where it is in decline due to habitat clearing.  Sprays of honey scented, white flowers appear in early summer followed by winged seeds designed for wind dispersal.  The timber is used in numerous applications including cabinet making, turning, sports equipment such as bats, tool handles, boats and musical instruments.  "							
Flindersia xanthoxyla	"Rutaceae	"	Least concern	Not listed	Yes	0.18	Rainforest and dry vine forest	"The Yellowwood, Flindersia xanthoxyla is a species of rainforest tree found growing in dry and coastal rainforest to subtropical rainforest areas from New South Wales into South East Queensland.  A tall cylindrical tree to 45 metres, this species gets its name from the Greek meaning for xanthos yellow"""							
Fraxinus angustifolia subsp. syriaca	"Oleaceae	"	Least concern	Not listed	Yes	0.09	"Mediterranean, woodlands and shrublands"	"The Syrian ash-tree, is a medium slow tree to 20 metres, although generally smaller in cultivation.   Native of south-west and central Asia, this deciduous tree will lose its foliage in autumn leaving the specially formed samara, a papery dry fruit designed to travel on the wind.  These samara remain on the tree until stronger winter gusts arrive. This tree is easily grown and tolerant of hash conditions. "							
Geijera parviflora	"Rutaceae	"	Least concern	Not listed	Yes	0.26	"Open forest, dry vine forest and woodland"	"The Wilga, Geijera parviflora, is a member of the citrus family, Rutaceae, found throughout dry areas of inland NSW, Qld, Vic, SA and WA.  This hardy and adaptable tree is found is woodland areas where it can reach highs of 9 metres.  The rough grey fissured bark is pleasant smelling as are the leaves when crushed.  Unlike the rest of the tree, the small creamy flowers have an unpleasant odour in order to attract pollinating flies.  A highly ornamental tree with graceful branches and foliage resembling a weeping willow.  It is well utilized by many native insects and birds.  "							
Glochidion ferdinandi	Phyllanthaceae	Least concern	Not listed	Yes	0.44	Rainforest and humid eucalypt forest	"The Cheese tree, Glochidion ferdinandi is a shrub or small tree growing up to 15 m high.  It can be found in dry, coastal and subtropical rainforest ranging from North East Queensland to lower New South Wales.  Buttressed roots provide stability for the tree, particularly in areas with poor soil where deep roots are difficult to develop.   The pumpkin shaped fruit enjoyed by many bird species is green or pinkish red when ripe.  Emerging new growth is red in colour with old leaves turning orange before falling. "							
Glochidion sp.	Phyllanthaceae	Least concern	Not listed	Yes	0.09	Rainforest and humid eucalypt forest	"Glochidion sp. Glochidion is a genus of flowering plants, contains about 300 species. It is distributed from Madagascar to the Pacific Islands with 15 species native to Australia where they are often known as cheese trees.  Glochidion species are an important food plant for many moths and butterflies.  Some species have coevolved with leafflower moths who act as the sole pollinators and lay their eggs in the flower ovaries.    "							
Glochidion sumatranum	Phyllanthaceae	Least concern	Not listed	Yes	0.09	"Rainforest, or rainforest margins in swampy areas"	"The Cheese tree, Glochidion sumatranum is an attractive tree with a graceful rounded habit up to 25 metres.  This fast growing, pioneer tree displays ornamental pink new growth on both the stems and leaves.  Dull pinkish hairy fruit that appear in spring to summer are a popular food source for parrots, riflebirds, honeyeaters, doves and lorikeets.  "							
Gmelina fasciculiflora	Lamiaceae	Least concern	Not listed	Yes	0.26	Rainforest	"The Northern white beech, Gmelina fasciculiflora is a dense, spreading native tree to 30 metres.  Often deciduous in winter, it can be found in rainforest from Cape Tribulation to Cardwell, North Queensland where its fruit is part of the Cassowaries diet.  The upperside of the leaf is a smooth green while the underside is whitish with rusty hairs.  Large bluish-purple flowers develop from September followed by an attractive purple fruit.  The timber is highly prized for its durability and ease to work with, particularly for carving.  "							
Gmelina leichhardtii	Lamiaceae	Least concern	Not listed	Yes	0.09	Rainforest	"White beech, Gmelina leichhardtii is a tropical forest tree of eastern Australia which reaches up to 40 m tall.  This semi-deciduous tree forms a large buttressed trunk, the base of the largest trees exceeds two and a half metres in diameter.  This tree is uncommon in the wild with populations decimated from logging activities in the 19th and 20th centuries. The timber is durable and greyish without significant markings. However, it splits when nailed. It is prized for templates, pattern making, house construction, planking for boat hulls, flooring, carriage work, wood carving and cabinet work. "							
Gossia myrsinocarpa/Gossia acminoides	Myrtaceae	Least concern	Not listed	Yes	0.09		"The Scrub ironwood, Gossia acmenoides is a native shrub or tree belonging to the Myrtaceae family.  Found in drier rainforest areas along the east coast, it is considered endangered in New South Wales.  Often multi stemmed with unusual crooked trunks the Scrub ironwood can grow to 18 metres.  White flowers appear from November followed by small black fruit.  "							
Grevillea baileyana	Proteaceae	Least concern	Not listed	Yes	0.18	"Lowland rain forest, gallery forest and drier, more seasonal rain forest"	"The White oak, Grevillea baileyana is a medium to large tree native to north-eastern Queensland and Papua New Guinea. Although native to tropical Queensland, this large tree has started showing signs of invasive growth around the Brisbane area and is not recommended for planting.  Green leaves with bronze hairy underside distinguish this species from the very similar but non-invasive substitutes, White Oak, Grevillea hilliana and Ivory Curl, Buckinghamia celsissima. "							
Grevillea hilliana	Proteaceae	Least concern	Not listed	Yes	0.18	Subtropical rainforest	"The White yiel yiel, Grevillea hilliana is an attractive tree, endemic to subtropical and seasonal rainforest of Queensland and New South Wales.  Named after the Australian botanist Walter Hill, the White yiel yiel can grow to a large tree of 30 metres in its natural environment.  The underside of the leaves is silver white colour with juvenile leaves lobed; projections of the leaf blade with gaps between them such as a maple leaf. The white to pale green fragrant flowers the tree produces from May to October and are an excellent source of nectar. "							
Grevillea robusta	Proteaceae	Least concern	Not listed	Yes	1.67	Rainforest	"Silky oak, Grevillea robusta is the largest species of grevillea reaching up to 40 metres tall. Its bark is dark grey and furrowed, the leaves are fern-like. Flowering occurs between September and November forming stunning golden-orange flowers.  This tree is widely used in gardens but it is  regarded as an environmental weed in New South Wales and as a minor environmental weed or potential environmental weed in Victoria. Before the advent of aluminium, Silky oak timber was widely used for external window joinery, as it is resistant to wood rot. It has been used in the manufacture of furniture, cabinetry, and fences."							
Guioa semiglauca	Sapindaceae	Least concern	Not listed	Yes	0.26	Rainforest and fringing forest	"The Guioa or wild quince, Guioa semiglauca is a medium rainforest tree growing to 25 metres.  It is found in warmer rainforest ranging from North Queensland into Northern New South Wales as well as warmer parts of Central Queensland where it is an important food tree for many bird species.  Leaves are discolorous, lighter on the underside of the leaf.  New growth is red maturing to a dull green with a whitish-grey underside.  Small, greenish white flowers develop from September followed by bright orange to red capsules containing the seed.   "							
Gyrocarpus americanus	Sterculiaceae	Least concern	Not listed	Yes	0.09	Rainforest	"Coolamon tree, Gyrocarpus americanus is a slender, deciduous tree with smooth, grey bark growing to 12 m in height.  Native to Australia, Africa, Asia, the Pacific and Central America. The tree is also commonly known as the Helicopter tree as the fruit"							
Harpullia hillii	Sapindaceae	Least concern	Not listed	Yes	0.18	Dry Rainforest	"The Blunt-leaved tulip or oblong-leaved tulip, Harpullia hillii was first described in 1859 by Victorian government botanist Ferdinand von Mueller based on plant material collected by Walter Hill, first superintendent of the Brisbane Botanic Gardens."							
Harpullia pendula	Sapindaceae	Least concern	Not listed	Yes	4.30	Rainforest	"Tulipwood, Harpullia pendula is a small to medium sized rainforest tree which is popular for its use as an ornamental tree commonly used in parks, gardens and as a street tree.  This species occurs from tropical Queensland to Northern New South Wales. It is a rainforest species which naturally grows in wet and dry rainforests, by streams and on basaltic or alluvial soils.  It has attractive foliage and large pendulous sprays of greenish-yellow, slightly fragrant flowers during the summer, followed by showy orange seed cases.  Tulipwood is used as a timber tree for its tough light wood which is attractively patterned and easily worked. Logging for its timber has made it scarce in the wild."							
Hibiscus heterophyllus	Malvaceae	Least concern	Not listed	Yes	0.35	Open forest	"The Native rosella, Hibiscus heterophyllus is a tall, fast growing shrub reaching up to 6 metres.  Growing in moist situations from central New South Wales to the top of Queensland, the Native rosella produces a copiousness amounts of flowers followed by edible fruits. The species is quite variable depending on the environment it is grown.  Flowers can range from white to yellow with flowering times differ from June to December.   The flowers and fruit attract many native birds and butterflies, it is particularly favoured by honeyeaters. "							
Hymenosporum flavum	Pittosporaceae	Least concern	Not listed	Yes	0.26	Rainforest	"The Native frangipani, Hymenosporum flavum is an attractive rainforest tree to 25 metres. Masses of fragrant cream white flowers that age to yellow appear in spring.   The flowers are followed by brown capsules containing numerous papery winged seeds designed for wind dispersal.  Although native to tropical and sub-tropical rainforests it is adaptable to many soils and climates.   It is often used in landscaping and as a street tree due to the pleasant pyramid shape and glossy green leaves.  Despite the common name it is not related to the tropical Frangipani.  "							
Jacaranda mimosifolia	"Bignoniaceae	"	Not listed	Not listed	No	0.26	Rainforest	"The first Jacaranda, Jacaranda mimosifolia planted in Brisbane was in the City Botanical Gardens in 1864, since then it has become an iconic tree in the Brisbane landscape.  This ornamental tree is best known its magnificent violet-blue clusters of long-lasting bell-shaped flowers in spring.  Over time however the Jacaranda has started to naturalize in both New South Wales and Brisbane and is now considered to be an invasive species.   "							
Jagera pseudorhus var. pseudorhus	Sapindaceae	Least concern	Not listed	Yes	0.53	Rainforest and open forest	"Foambark, Jagera pseudorhus is renowned as its bark was used by Aborigines as a fish poison. It contains saponins, which break the bonds of water molecules, causing them to lose oxygen. The fish suffocate and float to the surface."							
Lagunaria patersonii	Malvaceae	Least concern	Not listed	Yes	0.09	Rainforest	"Norfolk Island hibiscus, Lagunaria patersonii naturally occurs from on Norfolk and Lord Howe Islands.  It is a medium to large tree which can reach 12-20 metres in height. It has dense, greyish-green leaves which are oval in shaped and covered in soft hairs when young. The pink flowers are typical hibiscus shaped. Flowers are followed by brown capsules containing several black seeds. The capsules contain white fibres which can be very irritating if they get on the skin. It is widely grown in tropical, subtropical and temperate areas both coastal and inland. "							
Lepiderema sp. (Impulse Creek)	Sapindaceae	Least concern	Not listed	Yes	0.09	Complex notophyll vine forest								
Leptospermum sp.	Myrtaceae				0.09		"Commonly referred to as Teatree, the genus Leptospermum is native to Australia, South East Asia and New Zealand where it inhabits a variety of habitats.  The common name tea-tree originates from the use of the leaves as a tea substitute during early settlement.  "							
Libidibia ferrea	Fabaceae	Not listed	Not listed	No	0.09		"The Leopard tree, Libidibia ferrea is a large, semi-deciduous tree reaching 20 metres.  Originating in Brazil, it is a prized ornamental tree due to its decorative mottled grey, brown and white shedding bark and fern like leaflets.   Showy yellow flower spikes form at ends of the stems attracting nectar loving birds and insects.  Timber is very hard and can cause allergic reactions for those who work with it.  Despite the problematic nature of the timber, it is a desired tree for instrument making."							
Livistona australis	Arecaceae	Least concern	Not listed	Yes	0.26	"Swamp-forest, rainforest margins, or gallery-rainforest"	"The Cabbage-tree palm, Livistona australis is a native palm ranging from north Queensland to Eastern Victoria.  This tall palm is the second most southerly distributed palm species in the world and can be found growing in thick stands in swampy areas and on rainforest outskirts. Greyish green fan shaped leaves are held on spiked petioles or leaf stalks.  The common name is in reference to the palm heart or central bud that can be eaten.  Sometimes referred to as millionaire’s salad as removing this bud will destroy the palm.   "							
Lophostemon confertus	Myrtaceae	Least concern	Not listed	Yes	1.23	Rainforest and open forest	"Queensland brush box, Lophostemon confertus is a fast-growing rainforest tree which reaches 25 metres tall. It is a popular street tree, due to its disease and pest resilience, its high tolerance for smog, drought and poor drainage, and attractive foliage and rounded shape.   Endemic to Australia is naturally occurs in North Eastern Queensland and southwards to New South Wales on wet sclerophyll forest, rain forest margins and in rain forest. "							
Lophostemon suaveolens	Myrtaceae	Least concern	Not listed	Yes	0.26	Open forest and fringing forest	"The Swamp box, Lophostemon suaveolens is a medium native tree occurring from the north of New South Wales to Cape York and New Guinea.  A member of the Eucalypt family, Myrtaceae, it is found in open forest, swampy areas, river flats and rainforest.   The name suaveolens comes from the Latin meaning fragrant or sweet smelling and is in reference to the flower.  Older leaves turn a reddish orange before to falling. "							
Lysiphyllum carronii	Caesalpiniaceae	Least concern	Not listed	Yes	0.09	"Sandy or rocky soil in cypress-ironbark woodland, on sandy river banks, flood plains, in grey silty soil, in clay in Brigalow scrub, Gidgee scrub, on red clay-loam flats, and on steep slopes in vine thickets"								
Lysiphyllum hookeri	Caesalpiniaceae	Least concern	Not listed	Yes	0.18	"Monsoon forest, littoral rainforest"	"The White bauhinia, Lysiphyllum hookeri is a semi deciduous small tree native to the Dry Sclerophyll Forests of Queensland.  The compound leaves grow in paired leaflets and resemble a butterfly shape.   Attractive white flowers with red stamens can be seen in spring, sometimes more often throughout the year depending on rainfall.  "							
Macadamia integrifolia	Proteaceae	Vulnerable	Vulnerable	Yes	0.53	Rainforest	"The Macadamia, Macadamia integrifolia is endemic to rainforests of Queensland however this tree is now grown in many different countries for the nutritious eatable nut.  Fragrant flowers are produced in spring and on racemes up to 300mm long, containing up to 300 cream flowers followed by woody fruits.   "							
Macadamia ternifolia	Proteaceae	Vulnerable	Vulnerable	Yes	0.09	Rainforest	"The Gympie nut, Macadamia ternifolia is a small evergreen tree growing to 8 metres.  The leaf margins of this species are coarsely and unevenly serrated, the new growth is an attractive pinkish red colour.  Pink flowers develop from June to October before eatable seed is produced.  Land clearing has impacted this species to the point of vulnerable under the conservation act with only 1000-2000 of the Macadamia ternifolia left in the wild.  "							
Macaranga tanarius	Euphorbiaceae	Least concern	Not listed	Yes	1.58	Rainforest	"Macaranga tanarius is a pioneer species, fast growing in disturbed rainforest. It has a wide distribution occurring in South East Asia, Thailand, Papua New Guinea, Taiwan, and eastern Australia.  This shrub can reach 12 meters tall and is easily recognised by its round veiny leaves.  Yellow-green flowers form over Spring and Summer. Female and make flowers grow on different trees.  It is used as an ornamental tree and in bush regeneration as it rapidly establishes forming shade for juvenile trees. "							
Mallotus claoxyloides	Euphorbiaceae	Least concern	Not listed	Yes	0.18	Rainforest	"The Green kamala, Mallotus claoxyloides is a small tree or shrub to 8m with a tendency to sucker.  It is a common understory species growing in dry rainforest and vine thickets from New South Wales to North Queensland.  Other common names include Odour bush and Smell of the bush, due to the aromatic scent all parts of the plant emit, particularly the leaves when crushed.  Whether or not the smell is a pleasant seems to be based on personal preference.  "							
Mallotus philippensis	Euphorbiaceae	Least concern	Not listed	Yes	0.44	Rainforest and dry vine forest	"The Red kamala, Mallotus philippensis is a tree to 20 m high found in rainforest, vine thickets and monsoonal forest.  It has a wide distribution growing in Australia, New Guinea, South East Asia, India and Malesia.  The red fruit produced at any time of the year is used as a dye.  Seeds are used to produce a fatty oil that can act as a substitute for tung oil.   "							
Mangifera indica	Ancardiaceae	Not listed	Not listed	No	0.09		"The Mango, Mangifera indica is a native of India and Myanmar where it can grow to a height of 30 metres.  Due to the popularity of the fruit the Mango tree has been spread by humans throughout tropical and subtropical parts of the world over the last two centuries.  In many cases it has become naturalized and is considered a weed in these areas due to the spread to rainforest and alluvial habitats.  "							
Maytenus bilocularis	Celastraceae	Least concern	Not listed	Yes	0.18	Rainforest and dry vine forest	"The Orange bark, Maytenus bilocularis is small tree or shrub to 10 metres.  Endemic to Eastern Australia, it can be found in dry rainforest, woodland and monsoonal forest from North Queensland to New South Wales.  Greenish flowers appear in late spring followed by yellow 2 valved fruit with an orange seed coating called an aril."							
Melaleuca bracteata	Myrtaceae	Least concern	Not listed	Yes	0.35	Riparian forest	"The Black tea tree, Melaleuca bracteate is a small to medium tree growing to 8 metres.  It is endemic to parts of Western Australia, the Northern Territory, Queensland and New South Wales where it grows on wet sites and riverbeds.   It is a parent plant for many modern garden cultivars.  "							
Melaleuca decora	Myrtaceae	Least concern	Not listed	Yes	0.09	Riparian and swamp forest	"The White feather honeymyrtle, Melaleuca decora is a shrub or small tree to 7 metres.  Found naturally in open forest and wet areas from New South Wales to Queensland, it is covered in a paper like bark. Cream flowers appear in Summer followed by woody fruit.  The species name decora comes from the Latin word meaning adorned or beautiful/good looking/handsome.  "							
Melaleuca decora/ melaleuca linariifolia	Myrtaceae	Least concern	Not listed	Yes	0.09	Riparian and swamp forest	"The White feather honeymyrtle, Melaleuca decora is a shrub or small tree to 7 metres.  Found naturally in open forest and wet areas from New South Wales to Queensland, it is covered in a paper like bark. Cream flowers appear in Summer followed by woody fruit.  The species name decora comes from the Latin word meaning adorned or beautiful/good looking/handsome.  "							
Melaleuca leucadendra	Myrtaceae	Least concern	Not listed	Yes	0.97	Riparian forest and woodland on floodplains	"Weeping paperbark, Melaleuca leucadendra is a medium size tree growing to 20 metres in height.  This widely distributed tree is native to the warmer, northern regions of Australia as well as parts of New Guinea.   Like many species in this genus it is covered with the iconic white papery bark.   The new groth is covered in white hairs and leaves are generally curved.  The creamy white flowers are widely utilized by nectivorous creatures due to an extensive flowering period. "							
Melaleuca linariifolia	Myrtaceae	Least concern	Not listed	Yes	0.61	Riparian and swamp forest	"The narrow-leaf paperbark or snow-in-summer, Melaleuca linariifolia is found along the banks of permanent watercourses and swamps which regularly flood. Its distribution is largely confirmed to the north-east corner of NSW, southern Queensland and northern South Australia.  Often a multi-stemmed shrub of small tree (6m high) the bark on the trunk and larger branches is white, papery and usually peeling. The heartwood of this tree is pinkish-brown with a fine and even texture and it gives off a pleasant odour due to terpines when working with the wood."							
Melaleuca quinquenervia	Myrtaceae	Least concern	Not listed	Yes	0.88	Swamp forest and shrubland	"The Broad-leaved paperbark, Melaleuca quinquenervia is a native tree to 25 metres.  Found in wet areas and along waterways from the East coast of New South Wales to Queensland, it is also endemic to New Guinea and New Caledonia.  The leathery leaves are used to produce essential oil commonly used in cosmetics and medicines.   "							
Melaleuca salicina	Myrtaceae	Least concern	Not listed	Yes	0.26	Fringing forest and woodland	"The Willow bottlebrush, Melaleuca salicina can be found in moist areas and along watercourses from South East Queensland to Southern New South Wales.  A tree or large shrub growing up to 12 metres tall with papery white bark.  The new growth is pink and covered in small hairs before aging to narrow medium green leaves.  "							
Melaleuca saligna	Myrtaceae	Least concern	Not listed	Yes	0.09	"Woodland, swamps, sand dunes and the edge of riverbanks, waterholes and tidal creeks"	"Melaleuca species are a genus of angiosperms or flowering plants in the Myrtle family.  These species often have a layered papery bark and nectar rich bottlebrush shaped flowers.   Many species of Melaleuca are found growing in wet, swampy areas or along waterways.  They commonly regenerate well after fire.  The genus gets its name from the Latin for black and white, assumed in reference to the burned bases of the white trunks after fire.   "							
Melaleuca styphelioides	Myrtaceae	Least concern	Not listed	Yes	0.53	Riverine and impeded drainage	"The Prickly paperbark, Melaleuca styphelioides is a tree growing up to 20 metres high.  It can be found in wet, swampy areas or along waterways from Eastern Queensland to New South Wales.  Dark green foliage has sharp pointed tips which provide habitat and protection for local wildlife. Cream flowers are borne in spring through to summer.  The Prickly paperbark has been utilized as a street tree in some areas of Australia due to its tolerance for pollution and adaptability to varied conditions.  "							
Melaleuca viminalis subsp. viminalis	Myrtaceae	Least concern	Not listed	Yes	2.63	Riparian forest	"The small tree Weeping bottlebrush, Melaleuca viminalis occurs naturally on the eastern coast of Australia from Cape York to Northern New South Wales. Found commonly along watercourses it is most distinguished by the prominent red flower spikes which typically form from September to December however they can also occur sporadically throughout the year. It is one of the best known and most widely cultivated of all bottlebrushes used commonly as a street tree. "							
Melaleuca viridiflora	Myrtaceae	Least concern	Not listed	Yes	0.09	Riparian forest	"The Broad-leaved paperbark, Melaleuca viridiflora is a shrub or small tree endemic to the tropical north regions of Australia through to New Guinea.  It can be found growing in swampy areas, along streams or seasonally inundated open forest where is can reach 10 metres in height.  The bark ranges from cream to grey and is made up of soft papery layers. The leaves are thick and stiff with fine hairs on the new growth.  The species has an unusual green flower as implied by the name, viridiflora translating to viridis - fresh green and flos – flower. "							
Melia azedarach	Meliaceae	Least concern	Not listed	Yes	1.05	"Fringing forest rainforest margins, vine thicket"	"The White cedar, Melia azedarach is deciduous tree that can reach 35 metres in height.  Native to Australia from coastal far north Queensland through to Southern New South Wales as well as parts of Asia this species has become widely naturalized and invasive in other parts of the world.  Star shaped scented flowers hang in clusters with varying colour petals that can be purple, pink or white.   These flowers are followed by poisonous yellow fruit only eatable by birds.  "							
Melicope elleryana	"Rutaceae	"	Least concern	Not listed	Yes	0.09	Rainforest and swamp forest	"The Pink Euodia, Melicope elleryana is a native rainforest tree growing up to 25 m high distributed through various parts of Australia as well as New Guinea and Malesia.   The trunk which is sometimes buttressed is covered in pale brown corky bark particularly near the base.   The pink flowers are borne along the trunk and branches are bird attracting.  The fruiting capsules are green to brown with a shiny black fleshy seed coating called an aril.  This species is a host plant for the Ulysses Butterfly. "							
Melicope rubra	"Rutaceae	"	Least concern	Not listed	Yes	0.09	"Drier, more seasonal rain forest"	"The Little Evodia, Melicope rubra is a small tree to 8 metres, growing in rainforest from Cape York to North East Queensland as well as parts of New Guinea.  The Little Evodia is an important rainforest food source to many species.  The flowers that develop from September to March along the stems attract nectar loving animals and insects, the shiny black seeds feed birds and mammals and glossy green trifoliate leaves are food for the larvae of the Ulysses butterfly and Emperor Gum Moth. "							
Millettia pinnata	Fabaceae	Least concern	Not listed	Yes	0.35	Rainforest	"The Pongamia, Millettia pinnata is a small native tree growing to 12 metres.  It is endemic northern Queensland, areas of the Northern Territory as well as parts of New Guinea, Pacific Islands, Malesia, India and South East Asia.  The mostly smooth bark of this deciduous tree is a grey-brown colour. Leaves are a pinkish-red when young, maturing to a glossy light green with lighter undersides.  The pea-shaped pink, light purple or whitish flowers bloom sporadically year-round.  The Pongamia has been used in traditional medicine in India for centuries.  "							
Nauclea orientalis	Rubiaceae	Least concern	Not listed	Yes	0.09	Rainforest	"The Leichardt Tree, Nauclea orientalis bears spherical clusters of fragrant flowers that develop into golf ball-sized edible but bitter fruits. The yellowish to orange soft wood is also used for timber and in woodcarving and folk medicine."							
Neisosperma kilneri	Apocynaceae	Vulnerable	Vulnerable	Yes	0.09	Notophyll vine forest	"The Neisosperma kilneri is an attractive native tree to 20 metres.  It is found in subtropical rainforest, vine thickets and monsoonal forest along the mid Queensland Coast.  The grey outer bark contains a white latex substance if damaged.  The leaves are a dark green with a golden-brown lower surface and occur in whorls, a ring-like arrangement of leaves from a common point.  Heavily scented cream flowers are borne in April and followed by large orange-red poisonous fruit.  These smooth fruits are highly ornamental and develop in pairs.  The woody endocarp or stone inside the fruit is highly patterned and decorative. "							
Ochrosia elliptica	Apocynaceae	Least concern	Not listed	Yes	0.09	Foredune vine thickets behind mangroves	"The Elliptic yellowwood, Ochrosia elliptica is a small spreading tree to 9 metres.  It is a native of north-eastern Australia, Lord Howe Island and New Caledonia where it can be found in vine thickets or growing near mangroves.  It has attractive leathery dark green leaves which grow in whorls, a ring-like arrangement leaves from a common point or node of 3 or 4.  Yellowish-white fragrant flowers appear from October to February followed by pairs of poisonous, distinct, glossy red fruit. "							
Olea paniculata	"Oleaceae	"	Least concern	Not listed	Yes	0.44	Rainforest and dry vine forest	"The Native olive, Olea paniculata as a bushy tree growing to 30 metres.  This fast-growing species widely distributed through Pakistan, China, tropical Asia and the Pacific Islands.  In Australia it ranges from North East Queensland into New South Wales.  Smooth grey-brown bark covers the occasionally buttressing trunk.  Black olive shaped fruit are a food source for parrot and dove species, the tree itself is a host plant for Butterflies. "							
Owenia venosa	Meliaceae	Least concern	Not listed	Yes	0.09	Dry vine forest	"The Crows apple, Owenia venosa is a tree to 20 metres.  Endemic to Central Eastern Queensland, it can be found growing in dry rainforest and vine thickets.  The tree produces a dense crown of glossy, dark green leaves. The young plants are easy to identify because the juvenile leaves have a winged rachis, an extension either side of the leaf stalk between leaves. Tiny white flowers are borne from spring to summer followed by red spherical fruit.  Male and female plants grow separately."							
Pandanus brookei	Pandanaceae	Least concern	Not listed	Yes	0.26	Coastal areas	"Screw Pine, Pandanus brookei is a costal tree for northern Australia which reached 7-10 metres in height.  Pandanus are palm-like however they are not closely related to palm trees.  The roots from a pyramidal tract to hold the trunk. They are dioecious with male and female flowers produced on different plants. The flowers of the male tree are 2-3 cm long and fragrant surrounded by narrow, white bracts. The female tree produces flowers with round fruits that are also bract-surrounded. "							
Pararchidendron pruinosum	Mimosaceae	Least concern	Not listed	Yes	0.26	"Tropical, sub-tropical, warm temperate, littoral and riverine rainforest"	"Screw Pine, Pandanus brookei is a costal tree for northern Australia which reached 7-10 metres in height.  Pandanus are palm-like however they are not closely related to palm trees.  The roots from a pyramidal tract to hold the trunk. They are dioecious with male and female flowers produced on different plants. The flowers of the male tree are 2-3 cm long and fragrant surrounded by narrow, white bracts. The female tree produces flowers with round fruits that are also bract-surrounded. "							
Pentaceras australe	"Rutaceae	"	Least concern	Not listed	Yes	0.09	Dry and subtropical rainforest of coastal districts	"The Penta ash, Pentaceras australe is an Australian rainforest tree can be found growing by streams or dry and littoral rainforest between New South Wales and South East Queensland.  A member of the citrus family, this small to medium-sized tree can grow up to 25 metres.  The easily impressionable grey-brown bark will often show signs of animals tracks and markings across its smooth surface.  Panicles of scented white flowers form from June before developing into a dry flat green carpel.   "							
Petalostigma triloculare	Picrodendraceae	Least concern	Not listed	Yes	0.18	"Drier rainforests, often on sandy soil"	"The Bitter bark, Petalostigma triloculare is an attractive large shrub to small tree reaching 3 to 5 metres.  It is found naturally in moist areas and rainforest skirts ranging from Central East Queensland to Central East New South Wales.  The new growth is covered with silky hairs giving it a fury appearance.  Creamy scented flowers are borne in summer on separate male and female trees.  The male flowers have a pleasant lemon fragrance.  The flowers are followed by bright, round orange-red fruits which are poisonous.  It is one of the host plants for the beautiful Copper Jewel butterfly."							
Pinus taeda	"Pinaceae	"	Not listed	Not listed	No	0.26		"The Loblolly pine, Pinus taeda is a large, evergreen, fast growing tree 45 metres.  Native to the United States, it found in a variety of habitats with poorly drained to wet soils from South-Eastern North America to Florida.  It is a broadly conical shaped tree widely used in the timber industry due to its adaptability and quick growth.  It is a habitat and food tree for woodpeckers in its endemic environment.     "							
Pittosporum angustifolium	Pittosporaceae	Least concern	Not listed	Yes	0.09	"Mallee communities, alluvial flats, ridges, as well as dry woodland"	"The Weeping Pittosporum, Pittosporum angustifolium is a shrub or small tree to 10 metres with a graceful weeping habit.   Widespread throughout inland Australia, this slow growing tree can be found in isolation or small pockets of low numbers throughout most states.  This drought-hardy tree produces a large number or heavily fragrant, yellow flowers in spring followed by an attractive orange fruit.  "							
Pittosporum multiflorum	Pittosporaceae	Least concern	Not listed	Yes	0.09	Rainforest	"The Orange thorn, Pittosporum multiflorum understorey shrub to 3 metres tall.  Found commonly from Queensland to Northern New South Wales in rainforest or wet sclerophyll forest.  A stiff, heavily branched, spiny shrub with mostly toothed leaves.  The foliage attracts small birds as the spines protect them from larger animals.  Tiny white flowers appear from spring to summer followed by a round orange berry.  The Orange thorn is a food plant for Bright Copper butterfly."							
Planchonella australis	Sapotaceae	Least concern	Not listed	Yes	0.18	Rainforest	"The Black apple, Planchonella australis is a medium to tall rainforest tree of the family Sapotaceae.  Reaching a height of 30 metres, this species ranges from Queensland to New South Wales along the eastern coastline of Australia.  The leaves are somewhat diamond shaped with a shiny green discolorous leaf, lower surface paler than above.  Purplish back fruit is eatable and said to be pleasant tasting although often contaminated by larvae.  "							
Pleiogynium timoriense	Ancardiaceae	Least concern	Not listed	Yes	1.84	Rainforest	"The Burdekin plum, Pleiogynium timoriense is a tropical, rainforest tree endemic to north-eastern Queensland.  Reaching up to 20 metres in the wild this tree is often smaller in cultivation. The fruit is considered as bush tucker used for jams. "							
Podocarpus elatus	"Podocarpaceae	"	Least concern	Not listed	Yes	0.88	Rainforest	"Brown pine, Podocarpus elatus is a fasting growing tree and reach height of up to 40 m.  Native to eastern NSW and eastern QLD the fruit of the brown pine is a bushfood. Large, fleshy purple-black berries ipen between March and July."							
